State/UT,District,Market,Commodity Group,Commodity,Date,Arrival Quantity,Min Price,Modal Price,Max Price
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,03-01-2021,7.38,660,860,1000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,04-01-2021,6.22,600,860,1000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,05-01-2021,6.99,600,800,1000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,06-01-2021,5.79,600,800,1000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,07-01-2021,6.6,600,860,1000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,10-01-2021,4.5,600,860,1000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,11-01-2021,1.35,600,800,1060
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,15-01-2021,1.65,660,900,1200
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,17-01-2021,7.23,560,800,1060
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,18-01-2021,6.65,600,860,1200
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,19-01-2021,5.79,660,900,1330
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,20-01-2021,3,660,1000,1330
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,21-01-2021,3.45,660,930,1200
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,22-01-2021,2.31,660,1000,1330
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,24-01-2021,6.45,1400,1700,2000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,25-01-2021,6.45,1400,1700,2000
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,29-01-2021,2.88,800,1330,1460
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,31-01-2021,3.93,660,1200,1530
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,01-02-2021,2.47,800,1200,1660
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,02-02-2021,3.98,730,1200,1400
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,03-02-2021,3.81,800,1460,1800
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,04-02-2021,3.92,800,1000,1400
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,05-02-2021,2.82,730,1100,1460
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,07-02-2021,3.52,660,1060,1460
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,08-02-2021,3.65,800,1060,1400
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,09-02-2021,4.47,660,1000,1460
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,10-02-2021,6,660,1000,1460
Andhra Pradesh,Annamayya,Kalikiri APMC,Vegetables,Tomato,11-02-2021,3.72,1000,1660,2130
