,,,,,,All Type of Report (All Grades) for 01-Jan-2021 to 11-Aug-2026,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2021 to 11-08-2026,Arrival Unit,Min Price 01-01-2021 to 11-08-2026,Modal Price 01-01-2021 to 11-08-2026,Max Price 01-01-2021 to 11-08-2026,Price Unit
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Vegetables,Turmeric(raw),17-03-2025,-,8.00,Metric Tonnes,8500.00,9000.00,10000.00,Rs./Quintal
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Vegetables,Turmeric(raw),22-03-2025,-,10.00,Metric Tonnes,9000.00,9500.00,10000.00,Rs./Quintal
Andhra Pradesh,Ananthapuramu,Anantapur APMC,Vegetables,Tomato,19-09-2025,-,1950.00,Metric Tonnes,1400.00,1700.00,2400.00,Rs./Quintal
Andhra Pradesh,Ananthapuramu,Anantapur APMC,Vegetables,Tomato,20-09-2025,-,2250.00,Metric Tonnes,1400.00,1700.00,2200.00,Rs./Quintal
Andhra Pradesh,Ananthapuramu,Anantapur APMC,Vegetables,Tomato,01-11-2025,-,1275.00,Metric Tonnes,100.00,160.00,230.00,Rs./Quintal
Andhra Pradesh,Ananthapuramu,Anantapur APMC,Vegetables,Tomato,03-11-2025,-,1800.00,Metric Tonnes,100.00,160.00,220.00,Rs./Quintal
Andhra Pradesh,Ananthapuramu,Anantapur APMC,Vegetables,Tomato,04-11-2025,-,2250.00,Metric Tonnes,110.00,140.00,240.00,Rs./Quintal
Andhra Pradesh,Ananthapuramu,Anantapur APMC,Vegetables,Tomato,05-11-2025,-,2100.00,Metric Tonnes,100.00,140.00,200.00,Rs./Quintal
Andhra Pradesh,Ananthapuramu,Anantapur APMC,Vegetables,Tomato,06-11-2025,-,2025.00,Metric Tonnes,100.00,150.00,200.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,01-06-2026,-,132.00,Metric Tonnes,1600.00,2700.00,3200.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,02-06-2026,-,124.00,Metric Tonnes,1600.00,2000.00,2800.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,03-06-2026,-,165.00,Metric Tonnes,1700.00,2300.00,3100.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,04-06-2026,-,107.00,Metric Tonnes,1500.00,2000.00,3000.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,05-06-2026,-,115.00,Metric Tonnes,1700.00,2200.00,3400.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,06-06-2026,-,104.00,Metric Tonnes,1500.00,2000.00,3000.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,07-06-2026,-,116.00,Metric Tonnes,1800.00,2500.00,3500.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,08-06-2026,-,212.00,Metric Tonnes,1800.00,2500.00,3500.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,09-06-2026,-,271.00,Metric Tonnes,1900.00,2600.00,3600.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,10-06-2026,-,301.00,Metric Tonnes,2000.00,2500.00,3500.00,Rs./Quintal
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,11-06-2026,-,424.00,Metric Tonnes,1900.00,2600.00,3600.00,Rs./Quintal
